gi4_mariadb
date,stream,content
2026/05/05 06:44:40,stderr,2026-05-05  6:44:40 0 [Note] Starting MariaDB 11.8.2-MariaDB-ubu2404-log source revision 8d36cafe4fc700e6e577d5a36650c58707e76b92 server_uid 7w5IacVwpZZVmMzh5ctmPx+xDuw= as process 1

2026/05/05 06:44:40,stdout,2026-05-05 06:44:40+02:00 [Note] [Entrypoint]: MariaDB upgrade not required

2026/05/05 06:44:39,stdout,2026-05-05 06:44:39+02:00 [Note] [Entrypoint]: Entrypoint script for MariaDB Server 1:11.8.2+maria~ubu2404 started.

2026/05/05 06:44:39,stdout,2026-05-05 06:44:39+02:00 [Note] [Entrypoint]: Switching to dedicated user 'mysql'

2026/05/05 06:44:39,stderr,"1:name=systemd:/docker/1c8072d92e03080a8809b67657de6143208ed6c4212bb76782b609ba2e4edc17/memory.pressure not writable, functionality unavailable to MariaDB
"
2026/05/05 06:44:39,stderr,2:name=synomonitor:/system.slice/pkg-ContainerManager-dockerd.service

2026/05/05 06:44:39,stderr,3:cpuacct:/docker/1c8072d92e03080a8809b67657de6143208ed6c4212bb76782b609ba2e4edc17

2026/05/05 06:44:39,stderr,4:freezer:/docker/1c8072d92e03080a8809b67657de6143208ed6c4212bb76782b609ba2e4edc17

2026/05/05 06:44:39,stderr,5:cpuset:/docker/1c8072d92e03080a8809b67657de6143208ed6c4212bb76782b609ba2e4edc17

2026/05/05 06:44:39,stderr,6:devices:/docker/1c8072d92e03080a8809b67657de6143208ed6c4212bb76782b609ba2e4edc17

2026/05/05 06:44:39,stderr,7:cpu:/docker/1c8072d92e03080a8809b67657de6143208ed6c4212bb76782b609ba2e4edc17

2026/05/05 06:44:39,stderr,2026-05-05 06:44:39+02:00 [Warn] [Entrypoint]: /sys/fs/cgroup/emory:/docker/1c8072d92e03080a8809b67657de6143208ed6c4212bb76782b609ba2e4edc17

2026/05/05 06:44:38,stdout,2026-05-05 06:44:38+02:00 [Note] [Entrypoint]: Entrypoint script for MariaDB Server 1:11.8.2+maria~ubu2404 started.

2026/05/05 06:43:28,stderr,2026-05-05  6:43:28 0 [Note] mariadbd: Shutdown complete

2026/05/05 06:43:28,stderr,2026-05-05  6:43:28 0 [Note] Event Scheduler: Purging the queue. 7 events

2026/05/05 06:43:28,stderr,2026-05-05  6:43:28 0 [Note] InnoDB: Shutdown completed; log sequence number 13444292746; transaction id 19948762

2026/05/05 06:43:28,stderr,2026-05-05  6:43:28 0 [Note] InnoDB: Removed temporary tablespace data file: "./ibtmp1"

2026/05/05 06:43:27,stderr,2026-05-05  6:43:27 0 [Note] InnoDB: Buffer pool(s) dump completed at 260505  6:43:27

2026/05/05 06:43:27,stderr,2026-05-05  6:43:27 0 [Note] InnoDB: Dumping buffer pool(s) to /var/lib/mysql/ib_buffer_pool

2026/05/05 06:43:27,stderr,2026-05-05  6:43:27 0 [Note] InnoDB: Starting shutdown...

2026/05/05 06:43:27,stderr,2026-05-05  6:43:27 0 [Note] InnoDB: FTS optimize thread exiting.

2026/05/05 06:43:27,stderr,2026-05-05  6:43:27 0 [Note] Event Scheduler: Stopped

2026/05/05 06:43:27,stderr,2026-05-05  6:43:27 0 [Note] Event Scheduler: Waiting for the scheduler thread to reply

2026/05/05 06:43:27,stderr,"2026-05-05  6:43:27 0 [Note] Event Scheduler: Killing the scheduler thread, thread id 1
"
2026/05/05 06:43:27,stderr,2026-05-05  6:43:27 0 [Note] mariadbd (initiated by: unknown): Normal shutdown

2026/05/04 14:46:08,stderr,Version: '11.8.2-MariaDB-ubu2404-log'  socket: '/run/mysqld/mysqld.sock'  port: 3306  mariadb.org binary distribution

2026/05/04 14:46:08,stderr,2026-05-04 14:46:08 0 [Note] mariadbd: ready for connections.

2026/05/04 14:46:08,stderr,2026-05-04 14:46:08 1 [Note] Event Scheduler: scheduler thread started with id 1

2026/05/04 14:46:08,stderr,2026-05-04 14:46:08 0 [Note] mariadbd: Event Scheduler: Loaded 7 events

2026/05/04 14:46:08,stderr,2026-05-04 14:46:08 0 [Note] Server socket created on IP: '::'.

2026/05/04 14:46:08,stderr,2026-05-04 14:46:08 0 [Note] Server socket created on IP: '0.0.0.0'.

2026/05/04 14:46:05,stderr,2026-05-04 14:46:05 0 [Note] InnoDB: Buffer pool(s) load completed at 260504 14:46:05

2026/05/04 14:46:04,stderr,2026-05-04 14:46:04 0 [Note] InnoDB: Loading buffer pool(s) from /var/lib/mysql/ib_buffer_pool

2026/05/04 14:46:04,stderr,2026-05-04 14:46:04 0 [Note] Plugin 'wsrep-provider' is disabled.

2026/05/04 14:46:04,stderr,2026-05-04 14:46:04 0 [Note] Plugin 'FEEDBACK' is disabled.

2026/05/04 14:46:04,stderr,2026-05-04 14:46:04 0 [Note] InnoDB: log sequence number 13395206186; transaction id 19847345

2026/05/04 14:46:04,stderr,2026-05-04 14:46:04 0 [Note] InnoDB: File './ibtmp1' size is now 12.000MiB.

2026/05/04 14:46:04,stderr,2026-05-04 14:46:04 0 [Note] InnoDB: Setting file './ibtmp1' size to 12.000MiB. Physically writing the file full; Please wait ...

2026/05/04 14:46:04,stderr,2026-05-04 14:46:04 0 [Note] InnoDB: 128 rollback segments in 3 undo tablespaces are active.

2026/05/04 14:46:04,stderr,2026-05-04 14:46:04 0 [Note] InnoDB: Opened 3 undo tablespaces

2026/05/04 14:46:04,stderr,2026-05-04 14:46:04 0 [Note] InnoDB: End of log at LSN=13395206186

2026/05/04 14:46:04,stderr,2026-05-04 14:46:04 0 [Note] InnoDB: File system buffers for log disabled (block size=512 bytes)

2026/05/04 14:46:04,stderr,2026-05-04 14:46:04 0 [Note] InnoDB: Completed initialization of buffer pool

2026/05/04 14:46:04,stderr,"2026-05-04 14:46:04 0 [Note] InnoDB: innodb_buffer_pool_size_max=4096m, innodb_buffer_pool_size=4096m
"
2026/05/04 14:46:04,stderr,2026-05-04 14:46:04 0 [Warning] InnoDB: liburing disabled: falling back to innodb_use_native_aio=OFF

2026/05/04 14:46:04,stderr,"2026-05-04 14:46:04 0 [Warning] mariadbd: io_uring_queue_init() failed with ENOMEM: try larger memory locked limit, ulimit -l, or https://mariadb.com/kb/en/systemd/#configuring-limitmemlock under systemd (262144 bytes required)
"
2026/05/04 14:46:04,stderr,2026-05-04 14:46:04 0 [Note] mariadbd: O_TMPFILE is not supported on /tmp (disabling future attempts)

2026/05/04 14:46:04,stderr,2026-05-04 14:46:04 0 [Note] InnoDB: Using crc32 + pclmulqdq instructions

2026/05/04 14:46:04,stderr,2026-05-04 14:46:04 0 [Note] InnoDB: Number of transaction pools: 1

2026/05/04 14:46:04,stderr,2026-05-04 14:46:04 0 [Note] InnoDB: Compressed tables use zlib 1.3

2026/05/04 14:46:04,stderr,2026-05-04 14:46:04 0 [Warning] --innodb-flush-method is deprecated and will be removed in a future release

2026/05/04 14:46:04,stderr,2026-05-04 14:46:04 0 [Note] Starting MariaDB 11.8.2-MariaDB-ubu2404-log source revision 8d36cafe4fc700e6e577d5a36650c58707e76b92 server_uid 6UyujuVef5zEdjOcpKj2SScnVoc= as process 1

2026/05/04 14:46:04,stdout,2026-05-04 14:46:04+02:00 [Note] [Entrypoint]: MariaDB upgrade not required

2026/05/04 14:46:04,stdout,2026-05-04 14:46:04+02:00 [Note] [Entrypoint]: Entrypoint script for MariaDB Server 1:11.8.2+maria~ubu2404 started.

2026/05/04 14:46:04,stdout,2026-05-04 14:46:04+02:00 [Note] [Entrypoint]: Switching to dedicated user 'mysql'

2026/05/04 14:46:04,stderr,"1:name=systemd:/docker/1c8072d92e03080a8809b67657de6143208ed6c4212bb76782b609ba2e4edc17/memory.pressure not writable, functionality unavailable to MariaDB
"
2026/05/04 14:46:04,stderr,2:name=synomonitor:/system.slice/pkg-ContainerManager-dockerd.service

2026/05/04 14:46:04,stderr,3:memory:/docker/1c8072d92e03080a8809b67657de6143208ed6c4212bb76782b609ba2e4edc17

2026/05/04 14:46:04,stderr,4:cpuacct:/docker/1c8072d92e03080a8809b67657de6143208ed6c4212bb76782b609ba2e4edc17

2026/05/04 14:46:04,stderr,5:cpu:/docker/1c8072d92e03080a8809b67657de6143208ed6c4212bb76782b609ba2e4edc17

2026/05/04 14:46:04,stderr,6:freezer:/docker/1c8072d92e03080a8809b67657de6143208ed6c4212bb76782b609ba2e4edc17

2026/05/04 14:46:04,stderr,7:cpuset:/docker/1c8072d92e03080a8809b67657de6143208ed6c4212bb76782b609ba2e4edc17

2026/05/04 14:46:04,stderr,2026-05-04 14:46:04+02:00 [Warn] [Entrypoint]: /sys/fs/cgroup/evices:/docker/1c8072d92e03080a8809b67657de6143208ed6c4212bb76782b609ba2e4edc17

2026/05/04 14:46:04,stdout,2026-05-04 14:46:04+02:00 [Note] [Entrypoint]: Entrypoint script for MariaDB Server 1:11.8.2+maria~ubu2404 started.

2026/05/04 14:46:03,stderr,2026-05-04 14:46:03 0 [Note] mariadbd: Shutdown complete

2026/05/04 14:46:03,stderr,2026-05-04 14:46:03 0 [Note] Event Scheduler: Purging the queue. 7 events

2026/05/04 14:46:03,stderr,2026-05-04 14:46:03 0 [Note] InnoDB: Shutdown completed; log sequence number 13395206186; transaction id 19847345

2026/05/04 14:46:03,stderr,2026-05-04 14:46:03 0 [Note] InnoDB: Removed temporary tablespace data file: "./ibtmp1"

2026/05/04 14:46:03,stderr,2026-05-04 14:46:03 0 [Note] InnoDB: Buffer pool(s) dump completed at 260504 14:46:03

2026/05/04 14:46:03,stderr,2026-05-04 14:46:03 0 [Note] InnoDB: Dumping buffer pool(s) to /var/lib/mysql/ib_buffer_pool

2026/05/04 14:46:03,stderr,2026-05-04 14:46:03 0 [Note] InnoDB: Starting shutdown...

2026/05/04 14:46:03,stderr,2026-05-04 14:46:03 0 [Note] InnoDB: FTS optimize thread exiting.

2026/05/04 14:46:03,stderr,2026-05-04 14:46:03 0 [Note] Event Scheduler: Stopped

2026/05/04 14:46:03,stderr,2026-05-04 14:46:03 0 [Note] Event Scheduler: Waiting for the scheduler thread to reply

2026/05/04 14:46:03,stderr,"2026-05-04 14:46:03 0 [Note] Event Scheduler: Killing the scheduler thread, thread id 1
"
2026/05/04 14:46:03,stderr,2026-05-04 14:46:03 0 [Note] mariadbd (initiated by: unknown): Normal shutdown

2026/05/04 14:36:33,stderr,2026-05-04 14:36:33 203 [Warning] Aborted connection 203 to db: 'GI4' user: 'root' host: '172.19.0.10' (Got timeout reading communication packets)

2026/05/04 14:36:32,stderr,2026-05-04 14:36:32 202 [Warning] Aborted connection 202 to db: 'GI4' user: 'root' host: '172.19.0.10' (Got timeout reading communication packets)

2026/05/04 14:35:52,stderr,2026-05-04 14:35:52 124 [Warning] Aborted connection 124 to db: 'GI4' user: 'root' host: '172.19.0.7' (Got timeout reading communication packets)

2026/05/04 14:35:33,stderr,2026-05-04 14:35:33 204 [Warning] Aborted connection 204 to db: 'GI4' user: 'root' host: '172.19.0.10' (Got timeout reading communication packets)

2026/05/04 14:35:33,stderr,2026-05-04 14:35:33 206 [Warning] Aborted connection 206 to db: 'GI4' user: 'root' host: '172.19.0.10' (Got timeout reading communication packets)

2026/05/04 14:35:33,stderr,2026-05-04 14:35:33 205 [Warning] Aborted connection 205 to db: 'GI4' user: 'root' host: '172.19.0.10' (Got timeout reading communication packets)

2026/05/04 14:34:26,stderr,2026-05-04 14:34:26 30 [Warning] Aborted connection 30 to db: 'GI4' user: 'root' host: '172.19.0.8' (Got timeout reading communication packets)

2026/05/04 14:34:26,stderr,2026-05-04 14:34:26 181 [Warning] Aborted connection 181 to db: 'GI4' user: 'root' host: '172.19.0.8' (Got timeout reading communication packets)

2026/05/04 14:34:26,stderr,2026-05-04 14:34:26 184 [Warning] Aborted connection 184 to db: 'GI4' user: 'root' host: '172.19.0.8' (Got timeout reading communication packets)

2026/05/04 14:34:26,stderr,2026-05-04 14:34:26 176 [Warning] Aborted connection 176 to db: 'GI4' user: 'root' host: '172.19.0.8' (Got timeout reading communication packets)

2026/05/04 14:34:26,stderr,2026-05-04 14:34:26 38 [Warning] Aborted connection 38 to db: 'GI4' user: 'root' host: '172.19.0.8' (Got timeout reading communication packets)

2026/05/04 14:34:26,stderr,2026-05-04 14:34:26 177 [Warning] Aborted connection 177 to db: 'GI4' user: 'root' host: '172.19.0.8' (Got timeout reading communication packets)

2026/05/04 14:34:26,stderr,2026-05-04 14:34:26 182 [Warning] Aborted connection 182 to db: 'GI4' user: 'root' host: '172.19.0.8' (Got timeout reading communication packets)

2026/05/04 14:34:26,stderr,2026-05-04 14:34:26 180 [Warning] Aborted connection 180 to db: 'GI4' user: 'root' host: '172.19.0.8' (Got timeout reading communication packets)

2026/05/04 14:34:26,stderr,2026-05-04 14:34:26 178 [Warning] Aborted connection 178 to db: 'GI4' user: 'root' host: '172.19.0.8' (Got timeout reading communication packets)

2026/05/04 14:34:26,stderr,2026-05-04 14:34:26 179 [Warning] Aborted connection 179 to db: 'GI4' user: 'root' host: '172.19.0.8' (Got timeout reading communication packets)

2026/05/04 14:30:51,stderr,2026-05-04 14:30:51 49 [Warning] Aborted connection 49 to db: 'GI4' user: 'root' host: '172.19.0.7' (Got timeout reading communication packets)

2026/05/04 14:28:50,stderr,2026-05-04 14:28:50 33 [Warning] Aborted connection 33 to db: 'GI4' user: 'root' host: '172.19.0.8' (Got timeout reading communication packets)

2026/05/04 14:28:50,stderr,2026-05-04 14:28:50 23 [Warning] Aborted connection 23 to db: 'GI4' user: 'root' host: '172.19.0.8' (Got timeout reading communication packets)

2026/05/04 14:28:50,stderr,2026-05-04 14:28:50 39 [Warning] Aborted connection 39 to db: 'GI4' user: 'root' host: '172.19.0.8' (Got timeout reading communication packets)

2026/05/04 14:28:50,stderr,2026-05-04 14:28:50 36 [Warning] Aborted connection 36 to db: 'GI4' user: 'root' host: '172.19.0.8' (Got timeout reading communication packets)

2026/05/04 14:28:50,stderr,2026-05-04 14:28:50 35 [Warning] Aborted connection 35 to db: 'GI4' user: 'root' host: '172.19.0.8' (Got timeout reading communication packets)

2026/05/04 14:28:50,stderr,2026-05-04 14:28:50 37 [Warning] Aborted connection 37 to db: 'GI4' user: 'root' host: '172.19.0.8' (Got timeout reading communication packets)

2026/05/04 14:28:50,stderr,2026-05-04 14:28:50 40 [Warning] Aborted connection 40 to db: 'GI4' user: 'root' host: '172.19.0.8' (Got timeout reading communication packets)

2026/05/04 14:28:50,stderr,2026-05-04 14:28:50 31 [Warning] Aborted connection 31 to db: 'GI4' user: 'root' host: '172.19.0.8' (Got timeout reading communication packets)

2026/05/04 14:25:50,stderr,2026-05-04 14:25:50 22 [Warning] Aborted connection 22 to db: 'GI4' user: 'root' host: '172.19.0.7' (Got timeout reading communication packets)

