gi4_nodered_1881
date,stream,content
"
2026/05/04 14:46:03,stdout,"  topic: \"SELECT fe_LotMachineMinuteInStatusProd('c05dcd762e4b4b5a99224c48445d7683', '2026-05-04 00:00:00.000000', '2026-05-04 14:46:02.922933', -1) AS MINUTI\",
"
2026/05/04 14:46:03,stdout,{

2026/05/04 14:46:03,stdout,4 May 14:46:03 - [info] [debug:SqlErr] 

2026/05/04 14:20:20,stdout,4 May 14:20:20 - [error] [function:ms_OEEtasks] dbErrorEnd - Database not connected

2026/05/04 14:19:49,stdout,4 May 14:19:49 - [error] [function:ms_OEEtasks] dbError - Database not connected

2026/05/04 14:19:49,stdout,4 May 14:19:49 - [error] [function:ms_OEEtasks] dbErrorInit - Database not connected

2026/05/04 14:19:49,stderr,"TBaseMacchinaStatiDB: QueryRetry raggiunto queryW.retryMax: {\"uuid\":null,\"query\":\"SELECT m.ID, m.CALC_OEE_TYPE from MACHINE m WHERE m.DISABLED = 0 ORDER BY m.LINE_ID, m.ROW_INDEX\",\"type\":null,\"state\":\"Err\",\"qryResult\":\"Database not connected\",\"idx\":null,\"retryCount\":0,\"retryMax\":0}
"
2026/05/04 14:19:49,stderr,"TBaseMacchinaStatiDB: QueryError0: {\"uuid\":null,\"query\":\"SELECT m.ID, m.CALC_OEE_TYPE from MACHINE m WHERE m.DISABLED = 0 ORDER BY m.LINE_ID, m.ROW_INDEX\",\"type\":null,\"state\":\"Err\",\"qryResult\":\"Database not connected\",\"idx\":null,\"retryCount\":0,\"retryMax\":0}
"
2026/05/04 14:19:49,stdout,4 May 14:19:49 - [error] [function:ms_OEEtasks] QueryError - Database not connected

2026/05/04 14:19:49,stdout,}

2026/05/04 14:19:49,stdout,  }

2026/05/04 14:19:49,stdout,    }

2026/05/04 14:19:49,stdout,      count: 1

2026/05/04 14:19:49,stdout,"      name: 'DBmain:QueriesExec',
"
2026/05/04 14:19:49,stdout,"      type: 'mysql',
"
2026/05/04 14:19:49,stdout,"      id: '4c3b740d5ae93b7e',
"
2026/05/04 14:19:49,stdout,    source: {

2026/05/04 14:19:49,stdout,"    message: 'Database not connected',
"
2026/05/04 14:19:49,stdout,  error: {

2026/05/04 14:19:49,stdout,"  _msgid: '2fbeab5f1b49f68a',
"
2026/05/04 14:19:49,stdout,"  queryUrl: 'ms_OEEtasks.queryW',
"
2026/05/04 14:19:49,stdout,"  topic: 'SELECT m.ID, m.CALC_OEE_TYPE from MACHINE m WHERE m.DISABLED = 0 ORDER BY m.LINE_ID, m.ROW_INDEX',
"
2026/05/04 14:19:49,stdout,{

2026/05/04 14:19:49,stdout,4 May 14:19:49 - [info] [debug:SqlErr] 

2026/05/04 14:19:41,stdout,4 May 14:19:41 - [error] [mysql:Is Alive & Reconnect] Database not connected

2026/05/04 14:19:31,stdout,4 May 14:19:31 - [error] [mysql:Is Alive & Reconnect] Database not connected

2026/05/04 14:19:29,stdout,4 May 14:19:29 - [error] [MySQLdatabase:e3223b3a.53a268] Error: connect ECONNREFUSED 172.19.0.9:3306

2026/05/04 14:19:29,stdout,4 May 14:19:29 - [info] Started flows

2026/05/04 14:19:29,stdout,4 May 14:19:29 - [info] Starting flows

2026/05/04 14:19:29,stdout,4 May 14:19:29 - [warn] Using unencrypted credentials

2026/05/04 14:19:28,stdout,4 May 14:19:28 - [info] Flows file     : /data/projects/gi4_db_tasks/flows.json

2026/05/04 14:19:28,stdout,4 May 14:19:28 - [info] Active project : gi4_db_tasks

2026/05/04 14:19:28,stdout,4 May 14:19:28 - [info] Server now running at http://127.0.0.1:1880/

2026/05/04 14:19:28,stdout,4 May 14:19:28 - [info] Projects directory: /data/projects

2026/05/04 14:19:28,stdout,4 May 14:19:28 - [info] User directory : /data

2026/05/04 14:19:28,stdout,4 May 14:19:28 - [info] Context store  : 'default' [module=memory]

2026/05/04 14:19:28,stdout,4 May 14:19:28 - [info] Settings file  : /data/settings.js

2026/05/04 14:19:27,stdout,4 May 14:19:27 - [info] Dashboard version 3.6.5 started at /ui

2026/05/04 14:19:19,stdout,4 May 14:19:19 - [info] Loading palette nodes

2026/05/04 14:19:18,stdout,4 May 14:19:18 - [info] Linux 5.10.55+ x64 LE

2026/05/04 14:19:18,stdout,4 May 14:19:18 - [info] Node.js  version: v20.19.4

2026/05/04 14:19:18,stdout,4 May 14:19:18 - [info] Node-RED version: v4.1.0

2026/05/04 14:19:18,stdout,

2026/05/04 14:19:18,stdout,===================

2026/05/04 14:19:18,stdout,Welcome to Node-RED

2026/05/04 14:19:18,stdout,

2026/05/04 14:19:18,stdout,4 May 14:19:18 - [info] 

2026/05/04 14:19:18,stdout,[uuid] ACTIVATED

2026/05/04 14:19:18,stdout,[path] ACTIVATED

2026/05/04 14:19:18,stdout,[fs] ACTIVATED

2026/05/04 14:19:18,stdout,[OPCUA] OPCUA nodes will be DISABLED (PLC_TYPE != OPC-UA)

2026/05/04 14:19:18,stdout,[appParams] Overridden from ENV: RECIPE_CONF_TYPE = NODERED

2026/05/04 14:19:18,stdout,[appParams] Overridden from ENV: FLY_RUN_STATUS = ICO_FUNZ_IPM_0_1_11_21

2026/05/04 14:19:18,stdout,[appParams] Overridden from ENV: LOT_TERMINATE_TYPE = PLC

2026/05/04 14:19:18,stdout,[appParams] Overridden from ENV: PLC_TYPE = S7

2026/05/04 14:19:18,stdout,[appParams] Overridden from ENV: PROD_RESUME_TYPE = NO

2026/05/04 14:19:18,stdout,[appParams] Overridden from ENV: TRACKING_DETAIL_INDEX_MADATORY = false

2026/05/04 14:19:18,stdout,[appParams] Overridden from ENV: TRACKING_ANSWERS_ERR = 0

2026/05/04 14:19:18,stdout,[appParams] Overridden from ENV: LOT_CONF_TYPE = GI4

2026/05/04 14:19:18,stdout,[appParams] Overridden from ENV: TRACKING_DETAIL_MANDATORY = false

2026/05/04 14:19:18,stdout,[appParams] Overridden from ENV: PROD_STATUS_TYPE = NODERED

2026/05/04 14:19:18,stdout,[appParams] Overridden from ENV: USE_GI4_DB = true

2026/05/04 14:19:18,stdout,[appParams] Overridden from ENV: TRACKING_TYPE = PROD_GOOD_BAD

2026/05/04 14:19:18,stdout,[appParams] Overridden from ENV: TRACKING_ANSWERS_OK = 0

2026/05/04 14:19:18,stdout,[appParams] Overridden from ENV: FLY_PROD_GOOD_BAD = YES_GOOD_BAD_01

2026/05/04 14:19:18,stdout,[appParams] Overridden from ENV: AUTO_LOTTO = 0

2026/05/04 14:19:18,stdout,[appParams] Overridden from ENV: waitSecOnRecipeChange = 3

2026/05/04 14:19:18,stdout,[appParams] CREATED with configuration nessuno and path /data/projects/

2026/05/04 14:19:18,stdout,"Creation TAppParams(nessuno, /data/projects/)
